Code,city,supervisors_1.name,supervisors_1.degree,supervisors_1.title,supervisors_1.other,supervisors_2.name,supervisors_2.degree,supervisors_2.title,supervisors_2.other,opponents_1.name,opponents_1.degree,opponents_1.title,opponents_1.other,opponents_2.name,opponents_2.degree,opponents_2.title,opponents_2.other,opponents_3.name,opponents_3.degree,opponents_3.title,opponents_3.other,specialties_1.code,specialties_1.name,specialties_2.code,specialties_2.name,institution_prepared,degree.degree_level,degree.science_field,candidate_name,defense_council,defense_location,title,year,leading_organization,supervisors,opponents,specialties
mn20240610011,,Кузнецов Александр Андреевич,профессор,доктор педагогических наук,,,,,,,,,,,,,,,,,,,,,,,кандидат наук,педагогических наук,Ниматулаев Магомедхан Магомедович,,,Подготовка учителей информатики в педвузе к использованию web-технологий в профессиональной деятельности,2002,,Кузнецов Александр Андреевич,,
mn20240610012,,Кузнецов Александр Андреевич,профессор,доктор педагогических наук,,,,,,,,,,,,,,,,,,,,,,,кандидат наук,педагогических наук,Петруничева Оксана Жоржовна,,,Совершенствование методики обучения применению информационных систем: на примере обучения студентов медицинских специальностей,2009,,Кузнецов Александр Андреевич,,
mn20240610013,,Кузнецов Александр Андреевич,профессор,доктор педагогических наук,,,,,,,,,,,,,,,,,,,,,,,кандидат наук,педагогических наук,Потапенко Светлана Михайловна,,,Развитие познавательной активности учащихся на уроках информатики на основе использования задач регионального содержания,2010,,Кузнецов Александр Андреевич,,
mn20240610014,,Кузнецов Александр Андреевич,профессор,доктор педагогических наук,,,,,,,,,,,,,,,,,,,,,,,кандидат наук,педагогических наук,Рудакова Дора Тыкшеевна,,,Развитие содержания компонентов профессиональной деятельности учителя в условиях использования интернет технологий,2003,,Кузнецов Александр Андреевич,,
mn20240610015,,Кузнецов Александр Андреевич,профессор,доктор педагогических наук,,,,,,,,,,,,,,,,,,,,,,,кандидат наук,педагогических наук,Рыбаков Даниил Сергеевич,,,Формирование системы средств обучения информатике на основе информационных и коммуникационных технологий,2006,,Кузнецов Александр Андреевич,,
mn20240610016,,Кузнецов Александр Андреевич,профессор,доктор педагогических наук,,,,,,,,,,,,,,,,,,,,,,,кандидат наук,педагогических наук,Самойлик Елена Николаевна,,,"Развитие компонентов содержания курса ""Теоретические основы информатики"" в педагогическом вузе",2009,,Кузнецов Александр Андреевич,,
mn20240610017,,Кузнецов Александр Андреевич,профессор,доктор педагогических наук,,,,,,,,,,,,,,,,,,,,,,,кандидат наук,педагогических наук,Соловьянюк Лариса Григорьевна,,,Методика подготовки будущих учителей информатики к реализации сетевой модели организации профильного обучения,2008,,Кузнецов Александр Андреевич,,
mn20240610018,,Кузнецов Александр Андреевич,профессор,доктор педагогических наук,,,,,,,,,,,,,,,,,,,,,,,кандидат наук,педагогических наук,Суворова Татьяна Николаевна,,,Совершенствование методики изучения информационных технологий в школьном курсе информатики,2007,,Кузнецов Александр Андреевич,,
mn20240610019,,Кузнецов Александр Андреевич,профессор,доктор педагогических наук,,,,,,,,,,,,,,,,,,,,,,,кандидат наук,педагогических наук,Сурхаев Магомед Абдулаевич,,,Использование информационных технологий для активизации познавательной деятельности учащихся на уроках информатики в общеобразовательной школе,2004,,Кузнецов Александр Андреевич,,
mn20240610020,,Кузнецов Александр Андреевич,профессор,доктор педагогических наук,,,,,,,,,,,,,,,,,,,,,,,кандидат наук,педагогических наук,Утлинский Евгений Вацлавович,,,Организация и средства текущего контроля результатов обучения школьников по информатике,1993,,Кузнецов Александр Андреевич,,
mn20240610021,,Кузнецов Александр Андреевич,профессор,доктор педагогических наук,,,,,,,,,,,,,,,,,,,,,,,кандидат наук,педагогических наук,Чеканов Дмитрий Александрович,,,Совершенствование содержания обучения сетевым технологиям в педагогическом вузе,2002,,Кузнецов Александр Андреевич,,
mn20240610022,,Кузнецов Александр Андреевич,профессор,доктор педагогических наук,,,,,,,,,,,,,,,,,,,,,,,кандидат наук,педагогических наук,Яковлева Елена Юрьевна,,,Совершенствование системы методической подготовки учителей информатики в условиях введения профильного обучения,2005,,Кузнецов Александр Андреевич,,
mn20240610023,,Кузнецов Александр Андреевич,профессор,доктор педагогических наук,,,,,,,,,,,,,,,,,,,,,,,доктор наук,педагогических наук,Апатова Наталья Владимировна,,,Влияние информационных технологий на содержание и методы обучения в средней школе,1994,,Кузнецов Александр Андреевич,,
mn20240610024,,Кузнецов Александр Андреевич,профессор,доктор педагогических наук,,,,,,,,,,,,,,,,,,,,,,,доктор наук,педагогических наук,Абдуразаков Магомед Мусаевич,,,Совершенствование содержания подготовки будущего учителя информатики в условиях информатизации образования,2007,,Кузнецов Александр Андреевич,,
mn20240610026,,Кузнецов Александр Андреевич,профессор,доктор педагогических наук,,,,,,,,,,,,,,,,,,,,,,,доктор наук,педагогических наук,Босова Людмила Леонидовна,,,Развитие методической системы обучения информатике и информационным технологиям младших школьников,2010,,Кузнецов Александр Андреевич,,
mn20240610027,,Кузнецов Александр Андреевич,профессор,доктор педагогических наук,,,,,,,,,,,,,,,,,,,,,,,доктор наук,педагогических наук,Булин-Соколова Елена Игоревна,,,Научно-педагогическое обеспечение процесса информатизации общего образования,2010,,Кузнецов Александр Андреевич,,
mn20240610028,,Кузнецов Александр Андреевич,профессор,доктор педагогических наук,,,,,,,,,,,,,,,,,,,,,,,доктор наук,педагогических наук,Викулов Станислав Михайлович,,,,1999,,Кузнецов Александр Андреевич,,
mn20240610029,,Кузнецов Александр Андреевич,профессор,доктор педагогических наук,,,,,,,,,,,,,,,,,,,,,,,доктор наук,педагогических наук,Добудько Татьяна Валерьяновна,,,Формирование профессиональной компетентности учителя информатики в условиях информатизации образования,1999,,Кузнецов Александр Андреевич,,
mn20240610030,,Кузнецов Александр Андреевич,профессор,доктор педагогических наук,,,,,,,,,,,,,,,,,,,,,,,доктор наук,педагогических наук,Захарова Татьяна Борисовна,,,Профильная дифференциация обучения информатике на старшей ступени школы,1997,,Кузнецов Александр Андреевич,,
mn20240610031,,Кузнецов Александр Андреевич,профессор,доктор педагогических наук,,,,,,,,,,,,,,,,,,,,,,,доктор наук,педагогических наук,Зенкина Светлана Викторовна,,,Педагогические основы ориентации информационной образовательной среды на новые образовательные результаты,2007,,Кузнецов Александр Андреевич,,
mn20240610032,,Кузнецов Александр Андреевич,профессор,доктор педагогических наук,,,,,,,,,,,,,,,,,,,,,,,доктор наук,педагогических наук,Кравцова Алла Юрьевна,,,Совершенствование системы подготовки будущих учителей в области информационных и коммуникационных технологий в условиях модернизации образования: на материале зарубежных исследований,2004,,Кузнецов Александр Андреевич,,
mn20240610033,,Кузнецов Александр Андреевич,профессор,доктор педагогических наук,,,,,,,,,,,,,,,,,,,,,,,доктор наук,педагогических наук,Кравцов Сергей Сергеевич,,,Теория и практика организации профильного обучения в школах Российской Федерации,2007,,Кузнецов Александр Андреевич,,
mn20240610034,,Кузнецов Александр Андреевич,профессор,доктор педагогических наук,,,,,,,,,,,,,,,,,,,,,,,доктор наук,педагогических наук,Лесневский Александр Станиславович,,,Становление системы понятий информатики в школьном образовании,1996,,Кузнецов Александр Андреевич,,
mn20240610035,,Кузнецов Александр Андреевич,профессор,доктор педагогических наук,,,,,,,,,,,,,,,,,,,,,,,доктор наук,педагогических наук,Ниматулаев Магомедхан Магомедович,,,Подготовка учителей к использованию WEB-технологий для самостоятельного повышения квалификации,2012,,Кузнецов Александр Андреевич,,
mn20240610036,,Кузнецов Александр Андреевич,профессор,доктор педагогических наук,,,,,,,,,,,,,,,,,,,,,,,доктор наук,педагогических наук,Окулов Станислав Михайлович,,,Развитие интеллекта школьника как принцип организации синергетической среды обучения информатике,2004,,Кузнецов Александр Андреевич,,
mn20240610037,,Кузнецов Александр Андреевич,профессор,доктор педагогических наук,,,,,,,,,,,,,,,,,,,,,,,доктор наук,педагогических наук,Ракитина Елена Александровна,,,Построение методической системы обучения информатике на деятельностной основе,2002,,Кузнецов Александр Андреевич,,
mn20240610038,,Кузнецов Александр Андреевич,профессор,доктор педагогических наук,,,,,,,,,,,,,,,,,,,,,,,доктор наук,педагогических наук,Раскина Ирина Ивановна,,,Изучение научных основ информационных технологий в общеобразовательной школе,2005,,Кузнецов Александр Андреевич,,
mn20240610039,,Кузнецов Александр Андреевич,профессор,доктор педагогических наук,,,,,,,,,,,,,,,,,,,,,,,доктор наук,педагогических наук,Семакин Игорь Геннадьевич,,,Научно-методические основы построения базового курса информатики,2002,,Кузнецов Александр Андреевич,,
mn20240610040,,Кузнецов Александр Андреевич,профессор,доктор педагогических наук,,,,,,,,,,,,,,,,,,,,,,,доктор наук,педагогических наук,Семенова Зинаида Васильевна,,,Развитие углубленного обучения информатике в условиях модернизации школьного образования,2004,,Кузнецов Александр Андреевич,,
mn20240610041,,Кузнецов Александр Андреевич,профессор,доктор педагогических наук,,,,,,,,,,,,,,,,,,,,,,,доктор наук,педагогических наук,Суворова Татьяна Николаевна,,,Развитие методической системы подготовки учителей к проектированию и применению электронных образовательных ресурсов на основе системно-деятельностного подхода,2016,,Кузнецов Александр Андреевич,,
mn20240610042,,Кузнецов Александр Андреевич,профессор,доктор педагогических наук,,,,,,,,,,,,,,,,,,,,,,,доктор наук,педагогических наук,Сурхаев Магомед Абдулаевич,,,Развитие системы подготовки будущих учителей информатики для работы в условиях новой информационно-коммуникационной образовательной среды,2010,,Кузнецов Александр Андреевич,,
mn20240610044,,Кузнецов Александр Андреевич,профессор,доктор педагогических наук,,,,,,,,,,,,,,,,,,,,,,,доктор наук,педагогических наук,Филатов Олег Константинович,,,Информатизация современных технологий обучения в вышей школе,1999,,Кузнецов Александр Андреевич,,
mn20240610045,,Кузнецов Александр Андреевич,профессор,доктор педагогических наук,,,,,,,,,,,,,,,,,,,,,,,доктор наук,педагогических наук,Филатова Людмила Олеговна,,,Развитие преемственности школьного и вузовского образования в условиях введения профильного обучения в старшем звене средней школы,2005,,Кузнецов Александр Андреевич,,
mn20240610046,,Кузнецов Александр Андреевич,профессор,доктор педагогических наук,,,,,,,,,,,,,,,,,,,,,,,доктор наук,педагогических наук,Чернобай Елена Владимировна,,,Методические основы подготовки учителей к проектированию учебного процесса в современной информационной образовательной среде: в системе дополнительного профессионального образования,2012,,Кузнецов Александр Андреевич,,
mn20241020047,,Чернобай Елена Владимировна,профессор,доктор педагогических наук,,,,,,,,,,,,,,,,,,,,,,,кандидат наук,педагогических наук,Чернышова Наталья Алексеевна,,,,2012,,Чернобай Елена Владимировна,,
mn20241020048,,Чернобай Елена Владимировна,профессор,доктор педагогических наук,,,,,,,,,,,,,,,,,,,,,,,кандидат наук,педагогических наук,Пащенко Тарас Валерьевич,,,,2012,,Чернобай Елена Владимировна,,
mn20241020049,,Чернобай Елена Владимировна,профессор,доктор педагогических наук,,,,,,,,,,,,,,,,,,,,,,,кандидат наук,педагогических наук,Давлатова Мадина Асатуллоевна,,,,2012,,Чернобай Елена Владимировна,,
